Date,Open,High,Low,Close,Adj Close,Change,Volume
Jun 17 2026,42.48,42.48,41.20,41.22,41.22,-1.95%,24186
Jun 16 2026,42.59,42.59,41.79,42.04,42.04,-1.11%,19976
Jun 15 2026,42.68,42.71,42.12,42.51,42.51,0.14%,29684
Jun 12 2026,41.82,42.63,41.48,42.45,42.45,1.19%,26793
Jun 11 2026,41.50,42.04,41.50,41.95,41.95,2.39%,14206
Jun 10 2026,40.75,41.39,40.64,40.97,40.97,0.04%,14475
Jun 9 2026,41.23,41.38,40.65,40.96,40.96,-0.13%,17186
Jun 8 2026,41.01,41.48,40.88,41.01,41.01,0.00%,11814
Jun 5 2026,40.56,41.41,40.56,41.01,41.01,0.71%,16712
Jun 4 2026,40.71,40.80,40.50,40.72,40.72,0.52%,11235
Jun 3 2026,40.73,40.73,40.08,40.51,40.51,-0.83%,19650
Jun 2 2026,40.80,40.87,40.52,40.85,40.85,0.17%,55374
Jun 1 2026,40.14,40.91,39.91,40.78,40.78,1.64%,42304
May 29 2026,40.17,40.32,39.90,40.12,40.12,-0.49%,40954
May 28 2026,40.97,40.97,40.20,40.32,40.32,-2.02%,55316
May 27 2026,41.64,41.64,41.08,41.15,41.15,-1.98%,19647
May 26 2026,41.65,42.21,41.52,41.98,41.98,-0.05%,38432
May 22 2026,42.52,42.52,41.62,42.00,42.00,-2.55%,36501
May 21 2026,43.18,43.45,42.99,43.10,43.10,-0.74%,18669
May 20 2026,42.60,43.52,42.58,43.42,43.42,2.87%,41379
May 19 2026,42.19,42.44,42.01,42.21,42.21,0.86%,20591
May 18 2026,41.42,42.18,41.42,41.85,41.85,1.18%,24534
May 15 2026,42.22,42.22,41.23,41.36,41.36,-2.19%,31983
May 14 2026,42.36,42.54,42.09,42.28,42.28,-0.29%,16693
May 13 2026,42.72,42.72,42.10,42.41,42.41,-0.29%,12250
May 12 2026,42.40,42.65,42.10,42.53,42.53,-0.07%,16028
May 11 2026,42.76,42.76,42.22,42.56,42.56,-0.48%,21730
May 8 2026,42.62,42.90,42.35,42.77,42.77,2.31%,21878
May 7 2026,42.20,42.35,41.80,41.80,41.80,-1.51%,16634
May 6 2026,42.89,42.89,42.02,42.44,42.44,-1.23%,29890
May 5 2026,42.00,42.97,42.00,42.97,42.97,3.49%,25881
May 4 2026,41.65,41.98,41.38,41.52,41.52,0.34%,23777
May 1 2026,40.94,41.58,40.94,41.38,41.38,-0.19%,27171
Apr 30 2026,41.34,41.65,40.67,41.46,41.46,1.87%,22483
Apr 29 2026,41.20,41.36,40.42,40.70,40.70,0.30%,35676
Apr 28 2026,40.22,40.92,40.22,40.58,40.58,0.97%,14460
Apr 27 2026,39.97,40.58,39.97,40.19,40.19,-0.45%,20514
Apr 24 2026,39.95,40.49,39.95,40.37,40.37,1.01%,8927
Apr 23 2026,39.95,40.67,39.80,39.97,39.97,0.14%,9378
Apr 22 2026,40.17,40.17,39.43,39.91,39.91,-0.25%,29209
Apr 21 2026,41.10,41.44,40.01,40.01,40.01,-2.47%,20477
Apr 20 2026,41.15,41.23,40.50,41.03,41.03,-0.74%,21011
Apr 17 2026,41.57,41.89,41.16,41.33,41.33,1.21%,41425
Apr 16 2026,41.15,41.15,40.67,40.84,40.84,-0.49%,14320
Apr 15 2026,41.03,41.36,40.90,41.04,41.04,0.24%,25432
Apr 14 2026,41.34,41.34,40.91,40.94,40.94,-0.90%,42488
Apr 13 2026,40.78,41.43,40.78,41.31,41.31,0.93%,13073
Apr 10 2026,41.51,41.51,40.66,40.93,40.93,-1.78%,44947
Apr 9 2026,41.70,41.93,41.14,41.67,41.67,0.22%,21819
Apr 8 2026,41.05,41.66,41.02,41.58,41.58,1.39%,3793
Apr 7 2026,41.25,41.58,40.75,41.01,41.01,-0.22%,51977
Apr 6 2026,41.18,41.38,40.94,41.10,41.10,-0.02%,47320
Apr 2 2026,40.19,41.15,40.19,41.11,41.11,1.43%,23391
Apr 1 2026,40.48,40.92,40.30,40.53,40.53,-0.07%,28882
Mar 31 2026,39.91,40.80,39.67,40.56,40.56,2.65%,25597
Mar 30 2026,39.57,39.96,39.32,39.51,39.51,0.28%,31766
Mar 27 2026,39.57,39.80,38.93,39.40,39.40,-0.63%,40071
Mar 26 2026,40.68,40.78,40.08,40.08,39.65,-0.49%,18919
Mar 25 2026,40.78,40.81,40.15,40.28,39.85,-1.26%,30630
Mar 24 2026,40.00,41.09,40.00,40.79,40.35,1.54%,28268
Mar 23 2026,39.60,40.38,39.45,40.17,39.74,1.39%,57432
Mar 20 2026,41.06,41.06,39.38,39.62,39.20,-3.39%,47731
Mar 19 2026,40.41,41.23,39.85,41.01,40.57,1.16%,27292
Mar 18 2026,40.06,41.01,40.06,40.54,40.11,1.63%,39045
Mar 17 2026,40.08,40.10,39.70,39.89,39.46,1.19%,22712
Mar 16 2026,38.53,39.44,38.53,39.42,39.00,3.06%,24829
Mar 13 2026,38.64,38.77,38.13,38.25,37.84,-1.85%,74299
Mar 12 2026,40.47,40.47,38.90,38.97,38.55,-3.90%,53118
Mar 11 2026,41.15,41.15,40.07,40.55,40.12,-0.64%,45734
Mar 10 2026,41.07,41.44,40.62,40.81,40.37,-0.99%,44195
Mar 9 2026,40.03,41.29,40.03,41.22,40.78,1.88%,87939
Mar 6 2026,40.47,40.73,40.10,40.46,40.03,-1.10%,61620
Mar 5 2026,41.65,41.90,40.54,40.91,40.47,-3.13%,153806
Mar 4 2026,41.94,42.60,41.66,42.23,41.78,-1.12%,91852
Mar 3 2026,42.50,43.07,41.53,42.71,42.25,-0.37%,161591
Mar 2 2026,43.12,43.24,42.11,42.87,42.41,2.29%,252957
Feb 27 2026,41.48,41.96,41.31,41.91,41.46,1.04%,77654
Feb 26 2026,41.07,41.50,40.50,41.48,41.04,1.32%,35195
Feb 25 2026,41.02,41.12,40.53,40.94,40.50,0.86%,26064
Feb 24 2026,40.20,40.70,40.20,40.59,40.16,1.58%,40876
Feb 23 2026,40.16,40.21,39.57,39.96,39.53,-0.47%,45404
Feb 20 2026,39.90,40.38,39.77,40.15,39.72,1.47%,69088
Feb 19 2026,39.25,39.64,39.12,39.57,39.15,1.31%,88310
Feb 18 2026,38.69,39.19,38.52,39.06,38.64,1.55%,49934
Feb 17 2026,37.83,38.48,37.75,38.46,38.05,1.72%,55379
Feb 13 2026,37.08,37.81,37.08,37.81,37.40,1.83%,30257
Feb 12 2026,37.57,37.75,36.84,37.13,36.73,-0.91%,26072
Feb 11 2026,36.85,37.50,36.85,37.47,37.07,2.18%,36615
Feb 10 2026,36.65,36.76,36.64,36.67,36.28,0.63%,9786
Feb 9 2026,36.35,36.59,36.11,36.44,36.05,-0.03%,35195
Feb 6 2026,35.90,36.49,35.90,36.45,36.06,3.05%,20884
Feb 5 2026,35.50,35.68,35.37,35.37,34.99,-1.08%,25416
Feb 4 2026,36.40,36.46,35.67,35.76,35.37,-1.09%,62760
Feb 3 2026,36.37,36.50,35.53,36.15,35.76,0.48%,75591
Feb 2 2026,35.88,36.01,35.50,35.98,35.59,0.46%,73001
Jan 30 2026,35.52,35.93,35.50,35.81,35.43,-0.61%,261955
Jan 29 2026,35.85,36.28,35.29,36.03,35.64,1.62%,32982
Jan 28 2026,34.95,35.55,34.95,35.46,35.08,1.61%,22516
Jan 27 2026,34.45,35.04,34.45,34.89,34.52,1.88%,32878
Jan 26 2026,34.30,34.60,34.20,34.25,33.88,0.44%,18043
Jan 23 2026,33.93,34.24,33.93,34.10,33.74,0.15%,10857
Jan 22 2026,33.97,34.12,33.83,34.05,33.69,0.30%,16291
Jan 21 2026,33.70,34.05,33.49,33.95,33.58,1.96%,6723
Jan 20 2026,33.33,33.58,33.20,33.29,32.94,-0.41%,13516
Jan 16 2026,33.64,33.71,33.38,33.43,33.07,-1.25%,11787
Jan 15 2026,34.01,34.01,33.36,33.85,33.49,-0.58%,16165
Jan 14 2026,34.01,34.29,33.85,34.05,33.69,1.04%,20269
Jan 13 2026,33.80,34.10,33.69,33.70,33.34,-0.20%,14035
Jan 12 2026,33.50,33.77,33.37,33.77,33.41,1.62%,8426
Jan 9 2026,33.29,33.50,33.07,33.23,32.87,-0.06%,10853
Jan 8 2026,32.75,33.25,32.75,33.25,32.89,1.53%,26867
Jan 7 2026,32.13,32.75,32.13,32.75,32.40,2.60%,12397
Jan 6 2026,31.60,32.01,31.60,31.92,31.58,1.60%,17969
Jan 5 2026,31.48,31.60,31.28,31.42,31.08,-0.27%,14116
Jan 2 2026,31.57,31.57,31.25,31.50,31.16,-0.20%,7526
Dec 31 2025,31.60,31.61,31.30,31.56,31.23,-0.49%,16246
Dec 30 2025,31.86,31.88,31.66,31.72,31.38,-0.16%,12941
Dec 29 2025,32.38,32.64,32.37,32.62,31.43,0.76%,10224
Dec 26 2025,32.41,32.41,32.21,32.38,31.19,-0.05%,3919
Dec 24 2025,32.38,32.43,32.23,32.39,31.21,0.56%,2489
Dec 23 2025,32.00,32.21,32.00,32.21,31.03,0.34%,6635
Dec 22 2025,31.68,32.10,31.68,32.10,30.93,1.55%,4682
Dec 19 2025,32.01,32.07,31.61,31.61,30.46,-1.66%,9827
Dec 18 2025,32.33,32.38,32.08,32.15,30.97,0.27%,2626
Dec 17 2025,32.30,32.30,32.06,32.06,30.89,-0.68%,5781
